id,cell_id,cell_reprogrammed,det_filename,det_plate,det_well,pert_batch_internal_compound_enumerator,pert_batch_internal_replicate,pert_dose,pert_dose_unit,pert_id,pert_iname,pert_time,pert_time_unit,pert_type,pert_vehicle,provenance_code,det_normalization_group_vector,isomeric_smiles,lsm_id,pubchem_cid,pert_dose_bin
GA9-A0FE-001A01,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A1_acq_01,P-0013,A1,1,1,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-002A02,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A2_acq_01,P-0013,A2,1,2,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-003A03,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A3_acq_01,P-0013,A3,1,3,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-004A04,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A4_acq_01,P-0013,A4,1,1,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-005A05,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A5_acq_01,P-0013,A5,1,2,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-006A06,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A6_acq_01,P-0013,A6,1,3,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-007A07,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A7_acq_01,P-0013,A7,1,1,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-008A08,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A8_acq_01,P-0013,A8,1,2,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-009A09,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A9_acq_01,P-0013,A9,1,3,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-010A10,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A10_acq_01,P-0013,A10,1,1,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-011A11,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A11_acq_01,P-0013,A11,1,2,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-012A12,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_A12_acq_01,P-0013,A12,1,3,0,uM,DMSO,DMSO,24,h,ctrl_vehicle,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,0.0
GA9-A0FE-013B01,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B1_acq_01,P-0013,B1,2,1,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-014B02,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B2_acq_01,P-0013,B2,2,2,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-015B03,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B3_acq_01,P-0013,B3,2,3,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-016B04,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B4_acq_01,P-0013,B4,2,1,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-017B05,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B5_acq_01,P-0013,B5,2,2,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-018B06,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B6_acq_01,P-0013,B6,2,3,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-019B07,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B7_acq_01,P-0013,B7,2,1,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-020B08,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B8_acq_01,P-0013,B8,2,2,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-021B09,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B9_acq_01,P-0013,B9,2,3,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-022B10,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B10_acq_01,P-0013,B10,2,1,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-023B11,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B11_acq_01,P-0013,B11,2,2,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-024B12,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_B12_acq_01,P-0013,B12,2,3,1,uM,BRDK81418486001350,SAHA,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-025C01,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C1_acq_01,P-0013,C1,3,1,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-026C02,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C2_acq_01,P-0013,C2,3,2,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-027C03,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C3_acq_01,P-0013,C3,3,3,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-028C04,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C4_acq_01,P-0013,C4,3,1,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-029C05,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C5_acq_01,P-0013,C5,3,2,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-030C06,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C6_acq_01,P-0013,C6,3,3,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-031C07,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C7_acq_01,P-0013,C7,3,1,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-032C08,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C8_acq_01,P-0013,C8,3,2,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-033C09,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C9_acq_01,P-0013,C9,3,3,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-034C10,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C10_acq_01,P-0013,C10,3,1,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-035C11,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C11_acq_01,P-0013,C11,3,2,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-036C12,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_C12_acq_01,P-0013,C12,3,3,1,uM,BRDA19037878001056,Trichostatin A,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-037D01,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_D1_acq_01,P-0013,D1,4,1,1,uM,NA,5-Aza-2'-deoxycytidine,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-038D02,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_D2_acq_01,P-0013,D2,4,2,1,uM,NA,5-Aza-2'-deoxycytidine,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-039D03,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_D3_acq_01,P-0013,D3,4,3,1,uM,NA,5-Aza-2'-deoxycytidine,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-040D04,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_D4_acq_01,P-0013,D4,4,1,1,uM,NA,5-Aza-2'-deoxycytidine,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-041D05,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_D5_acq_01,P-0013,D5,4,2,1,uM,NA,5-Aza-2'-deoxycytidine,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
GA9-A0FE-042D06,A549,false,C20150114_LINCS_GCP_Y1Q1_Plate13_P-0013_D6_acq_01,P-0013,D6,4,3,1,uM,NA,5-Aza-2'-deoxycytidine,24,h,trt_cp,DMSO,L2X+H3N+SF5+PF5+RMN,NA,NA,NA,NA,1.0
